"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" 28 0 0 0 1 0 0 0 0 1 0 2 3 3 1 2 0 1 0 1
"2" 0 61 1 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0
"3" 0 0 73 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"4" 0 0 0 150 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0 97 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1
"6" 0 1 0 0 0 87 0 0 0 2 0 3 0 0 0 0 0 0 0 0
"7" 0 0 1 0 0 0 22 3 3 0 0 1 0 0 0 1 2 0 1 0
"8" 0 0 0 0 0 3 0 112 0 0 0 0 0 0 1 0 0 0 0 0
"9" 1 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0
"10" 0 2 0 0 0 1 1 0 1 114 0 0 0 1 0 0 1 0 0 0
"11" 0 2 2 0 1 2 0 1 0 0 13 0 3 0 1 1 0 0 0 1
"12" 0 0 0 0 0 0 0 1 0 1 0 107 1 0 1 0 1 0 0 0
"13" 0 0 1 0 0 2 0 0 0 0 0 0 81 1 1 0 0 0 1 2
"14" 0 0 2 1 0 0 0 1 0 0 0 1 0 154 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 1 0 1 0 0 0 0 155 0 0 0 0 0
"16" 3 1 0 0 0 1 0 0 0 0 0 0 1 1 1 123 2 0 4 2
"17" 0 1 0 0 0 0 0 0 0 0 2 0 1 1 0 0 86 0 0 0
"18" 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 35 0 0
"19" 0 0 1 0 2 1 0 0 0 0 0 0 1 0 0 0 2 0 71 1
"20" 0 1 0 1 1 3 0 0 0 0 1 0 1 1 0 2 1 0 0 244
