"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50"
"1" 22 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 2 1 1 1 0 0 2 0 0 0 0
"2" 0 77 0 1 3 0 0 1 1 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 1 3 2 1 0 0 0 0 0 1 0 1 0 0 0 3 0 0 1 0
"3" 0 1 22 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 2 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0
"4" 0 2 0 66 2 0 2 0 0 0 0 2 0 1 1 0 0 0 0 0 4 6 0 0 0 0 0 3 0 0 1 8 0 5 0 3 0 0 0 1 1 2 0 0 0 2 0 0 4 0
"5" 0 1 0 1 59 0 0 0 0 0 0 3 0 1 0 0 0 0 1 0 2 0 0 2 2 0 0 0 0 0 2 3 0 0 1 2 0 1 0 1 0 1 0 2 0 5 0 3 0 0
"6" 0 1 0 0 0 69 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0
"7" 0 2 0 0 1 3 27 0 0 1 0 2 0 2 0 0 0 1 5 0 2 0 0 0 0 0 0 4 0 0 2 4 0 1 1 0 0 1 0 2 0 0 0 0 1 1 0 2 1 0
"8" 0 0 1 1 0 0 0 44 1 1 2 1 0 0 0 1 1 0 0 0 3 0 0 0 0 0 1 0 0 0 2 1 3 1 1 1 0 0 1 0 0 7 0 1 0 2 0 0 1 0
"9" 0 1 0 0 3 0 3 0 52 0 0 0 0 1 0 0 7 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 1
"10" 1 1 0 0 0 1 0 0 0 32 0 1 1 1 0 0 0 1 0 1 0 3 0 0 3 0 0 1 0 1 4 0 3 2 0 0 1 0 0 0 2 1 0 0 0 3 0 0 1 0
"11" 0 0 0 2 2 1 0 0 0 0 160 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2
"12" 0 0 0 0 5 0 0 0 0 0 0 146 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"13" 0 1 0 0 2 0 0 1 0 1 0 6 89 1 0 0 3 4 0 1 0 0 0 2 1 0 12 2 0 1 1 0 0 1 1 1 0 0 0 0 0 1 3 0 0 0 0 0 0 0
"14" 0 0 0 0 0 1 0 0 0 0 0 0 0 70 0 0 0 2 0 1 1 0 0 3 1 1 1 0 1 0 2 0 0 0 2 1 1 4 0 1 1 2 1 0 0 4 0 0 2 0
"15" 4 0 1 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 2 0 0 1 0
"16" 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 30 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 2 0 0
"17" 0 0 0 0 1 1 0 0 0 2 1 1 0 0 0 0 67 0 2 0 0 1 0 3 3 0 0 0 0 0 1 2 0 0 2 0 1 0 0 0 1 3 0 0 0 1 0 1 0 0
"18" 1 0 0 0 3 4 2 0 0 2 0 0 2 2 1 2 0 57 3 0 1 2 1 1 1 1 2 1 0 2 1 3 1 0 1 2 0 1 0 3 0 4 1 0 4 2 1 3 2 2
"19" 0 1 0 0 2 7 0 0 0 1 2 2 1 0 0 0 0 0 112 0 0 0 1 1 2 0 0 0 0 0 2 2 5 0 0 1 0 1 0 1 0 2 0 0 0 0 0 1 1 2
"20" 0 0 0 0 0 0 0 1 0 0 3 1 0 1 0 0 0 0 0 99 0 0 0 0 0 0 0 0 0 1 0 1 1 0 4 1 1 0 1 0 0 0 0 0 0 2 0 1 0 0
"21" 0 4 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 1 1 11 0 0 0 0 1 0 0 0 0 2 1 0 2 0 0 0 0 1 0 3 0 0 1 0 1 0 0 0 0
"22" 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 1 1 1 50 0 0 2 0 1 0 0 0 0 1 0 2 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"23" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 65 0 0 0 0 0 0 0 0 3 1 0 1 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0
"24" 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 44 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"25" 0 1 0 1 5 0 0 0 1 1 0 2 0 0 0 0 1 0 2 0 0 0 1 1 74 0 0 0 0 0 2 1 5 0 2 1 0 0 0 2 0 2 0 0 1 3 0 0 0 3
"26" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 1 0
"27" 1 0 0 0 2 1 0 0 0 0 0 3 1 1 0 0 1 0 0 0 0 0 0 2 0 0 79 1 0 0 6 0 0 0 0 0 4 0 0 0 0 3 1 0 1 1 0 1 3 0
"28" 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
"29" 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 13 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0
"30" 0 0 0 0 0 3 0 1 1 1 0 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 31 2 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 1 1 1 0
"31" 1 1 0 0 0 1 2 0 1 0 0 1 1 0 0 0 0 3 1 1 0 0 0 0 3 0 0 1 0 0 88 1 0 1 0 2 0 0 0 0 0 2 2 1 0 2 0 1 0 1
"32" 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 2 1 183 1 0 0 2 0 0 2 1 1 0 0 0 0 1 0 0 0 0
"33" 0 1 0 0 0 1 0 0 0 1 0 4 0 0 0 0 0 0 3 1 1 1 2 0 0 0 0 1 0 0 1 3 82 2 0 3 0 0 0 2 0 0 0 0 1 2 0 0 0 0
"34" 0 4 1 1 1 3 0 0 0 1 0 0 2 1 0 7 2 0 1 1 0 1 1 0 2 0 1 0 0 0 5 2 0 39 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1
"35" 0 0 0 1 2 1 0 0 3 0 3 1 1 1 0 0 1 0 2 3 0 0 0 2 1 2 0 0 0 0 4 0 3 0 126 1 0 0 3 0 0 1 0 0 0 2 0 0 0 0
"36" 0 0 0 0 1 1 0 2 2 0 0 0 0 0 0 1 0 0 0 1 0 2 2 1 8 0 0 4 4 0 0 5 1 0 0 119 0 0 0 3 0 2 0 0 0 1 0 0 0 0
